# timestamp tx ty tz qx qy qz qw
1.770725407332646608e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.770725407398832321e+09 1.018921175273135304e-04 7.021775672910735011e-05 5.146444527781568468e-05 6.365136413688110194e-06 -6.974504685019235105e-06 1.143428471424857556e-05 9.999999998900492848e-01
1.770725407511247635e+09 3.914282206096686423e-05 4.114793046028353274e-05 -5.824815525556914508e-05 1.115900047725200908e-07 -1.802993392313560688e-05 5.093220351243054859e-06 9.999999998244841759e-01
1.770725407606549501e+09 2.051373885478824377e-04 1.833296264521777630e-04 4.636972516891546547e-05 2.612477326303571116e-05 -2.718367429655260198e-05 1.640533444947567189e-05 9.999999991547046108e-01
1.770725407704931974e+09 -3.244939216529019177e-05 1.107821590267121792e-04 6.493675027741119266e-05 6.782147465549186049e-06 -1.581281253421724868e-06 6.474918791062127877e-06 9.999999999547888319e-01
1.770725407804402351e+09 3.252514943596906960e-05 8.517905371263623238e-05 1.470606730435974896e-05 -2.965855401200151930e-06 5.792208412319558234e-06 -2.366996341095370108e-06 9.999999999760258440e-01
1.770725407904259920e+09 8.587285265093669295e-05 7.056070171529427171e-05 4.689070919994264841e-05 8.331046954054937935e-06 -2.157944799692385084e-05 1.987084032781386297e-06 9.999999997304862553e-01
1.770725408004510164e+09 3.092660699621774256e-05 2.404866390861570835e-04 1.510279980720952153e-04 2.729638979886444850e-05 1.293576860061576025e-05 2.024442800146414602e-05 9.999999993388681840e-01
1.770725408104515076e+09 4.141568206250667572e-05 3.764872963074594736e-04 2.957834221888333559e-04 3.076737628359810353e-05 -4.501383725319430469e-07 1.539545336525422375e-05 9.999999994080730481e-01
1.770725408204594612e+09 7.839986938051879406e-05 3.362207207828760147e-04 2.863200788851827383e-04 3.322991322199238094e-05 2.520793485289988980e-06 1.083197639007980567e-05 9.999999993860433367e-01
1.770725408306117773e+09 1.199663092847913504e-04 2.317953185411170125e-04 2.328100817976519465e-04 1.678486295997235825e-05 -1.277982846320955811e-05 9.175808370246357802e-06 9.999999997353745673e-01
1.770725408400242329e+09 4.335196354077197611e-05 1.968460856005549431e-04 1.790939277270808816e-04 1.762841929250184983e-05 -3.421373774776020586e-06 2.373218920951746143e-05 9.999999995571582367e-01
1.770725408504454851e+09 1.794612617231905460e-04 1.947037235368043184e-04 1.607561280252411962e-04 1.452092054498524516e-05 -1.061862621026546803e-05 3.908317372427222327e-05 9.999999990744465883e-01
1.770725408600472212e+09 1.141850661952048540e-04 1.325897173956036568e-04 2.138523850589990616e-04 8.540677290204952982e-06 -4.719753173310375288e-06 4.589553277078284700e-05 9.999999988991903344e-01
1.770725408704588890e+09 5.820552541990764439e-05 1.136700666393153369e-04 2.902073174482211471e-05 1.806483850657359457e-05 5.386029440685001304e-06 2.151623993115266587e-05 9.999999995908519512e-01
1.770725408803568840e+09 6.172606663312762976e-05 9.630745626054704189e-05 6.806471355957910419e-05 7.979011568401353646e-06 2.756927869246692420e-06 2.172795029174214777e-05 9.999999997283155473e-01
1.770725408904531479e+09 7.443171489285305142e-05 1.439336774637922645e-04 3.566772647900506854e-05 2.732289792069508692e-05 1.581093236534785365e-05 3.333373748444153105e-05 9.999999989461678673e-01
1.770725409004049301e+09 1.270297652808949351e-04 7.141264359233900905e-05 6.598767504328861833e-05 1.567105208348641853e-05 -6.496352847440451963e-06 3.769886458447300890e-05 9.999999991455055248e-01
1.770725409118441343e+09 -5.778842023573815823e-05 6.280721572693437338e-05 1.980465822271071374e-05 1.978078760109589071e-05 2.307869542131160565e-05 3.833454315968907642e-05 9.999999988032786113e-01
1.770725409204004526e+09 2.095593081321567297e-04 6.907904753461480141e-05 5.398598295869305730e-05 1.855571324982738449e-06 -1.806249381879539579e-05 4.055074164715941282e-05 9.999999990129702088e-01
1.770725409305838585e+09 9.903085447149351239e-05 1.208480098284780979e-04 -6.505762030428741127e-06 1.798943410579039400e-05 2.469198076836954331e-06 4.531978624128264868e-05 9.999999988082002300e-01
1.770725409403707266e+09 5.726627568947151303e-05 1.412152050761505961e-04 2.643573316163383424e-05 1.917981715585006302e-05 -1.352699017564615303e-05 3.472846216614630611e-05 9.999999991215446915e-01
1.770725409505919456e+09 7.202674896689131856e-05 1.159770836238749325e-04 2.405198029009625316e-05 8.090508338423228743e-06 -1.317793133979114904e-06 3.963191553731489286e-05 9.999999991810593070e-01
1.770725409605234861e+09 3.638929410954006016e-05 8.614125545136630535e-05 -5.386785778682678938e-05 6.506581024850082560e-06 -3.326961402195125935e-06 4.068044287286737683e-05 9.999999991458485837e-01
1.770725409703881741e+09 5.507198511622846127e-04 -5.395491025410592556e-04 8.269256213679909706e-04 8.122250785008052181e-04 4.635121306518816373e-04 1.331520286545839022e-04 9.999995538586323729e-01
1.770725409804657459e+09 3.375942760612815619e-04 -1.393377198837697506e-03 6.562009453773498535e-03 8.071703990563564935e-04 4.413353410886021889e-04 -8.738760431196705334e-05 9.999995730311438402e-01
1.770725409906263113e+09 1.371797989122569561e-03 -6.726484745740890503e-03 2.110835351049900055e-02 4.833691202543954901e-03 2.172073311052287285e-03 -4.529876671009826000e-04 9.999858560645061845e-01
1.770725410005216837e+09 1.999198691919445992e-03 -1.306401472538709641e-02 6.214587017893791199e-02 8.002805557507314607e-03 2.789193310494220753e-03 -2.212103727572862512e-04 9.999640626391812503e-01
1.770725410125609636e+09 3.889734856784343719e-03 -1.052274648100137711e-02 1.363761126995086670e-01 2.280078260637812167e-03 5.557240203925528990e-03 -9.810002081673339491e-04 9.999814778099807011e-01
1.770725410199345350e+09 -5.692278500646352768e-04 -1.163409184664487839e-02 2.169653028249740601e-01 3.709366126416603713e-04 9.425349696877407743e-03 -4.733636123917593468e-03 9.999443073882502420e-01
1.770725410303920507e+09 1.903996220789849758e-03 -1.110985688865184784e-02 3.062132298946380615e-01 -2.206995094297666687e-03 1.209632275699475470e-02 -5.920862624388104414e-03 9.999068714306326155e-01
1.770725410403009892e+09 3.857208648696541786e-03 -1.150029618293046951e-02 4.085066914558410645e-01 -3.118547882763842653e-03 1.578932529895652262e-02 -7.323829001944994962e-03 9.998436544752669075e-01
1.770725410503443241e+09 1.203523669391870499e-02 -1.864793524146080017e-02 5.169969797134399414e-01 -3.990882213519171675e-05 1.780754432407014726e-02 -6.786748455787834124e-03 9.998183984193479423e-01
1.770725410603713989e+09 2.298482693731784821e-02 -1.333075296133756638e-02 6.488764882087707520e-01 -8.325442456390920454e-03 2.303624279805384367e-02 -4.348459075397445930e-03 9.996905068216482837e-01
1.770725410702759981e+09 3.003443032503128052e-02 -2.048407122492790222e-02 7.793274521827697754e-01 -4.855209876380064959e-03 2.538191855140971634e-02 -4.596868914954549239e-03 9.996554676206620416e-01
